max_value,expected_value,success,day
7.0,6.792093000000001,False,47
4.0,3.9600000000000004,False,47
2.0,2.0,False,47
9.0,7.8567814080722105,False,47
3.0,3.0,False,47
3.0,3.0,False,47
6.0,4.86,True,48
9.0,7.938810000000001,False,48
6.0,5.880600000000001,False,48
2.0,2.0,False,48
7.0,7.0,False,48
4.0,4.0,False,48
2.0,2.0,False,48
9.0,7.07110326726499,True,48
3.0,3.0,False,48
3.0,3.0,False,48
6.0,5.346000000000001,False,49
9.0,7.144929000000001,True,49
6.0,6.0,False,49
2.0,2.0,False,49
7.0,7.0,False,49
4.0,4.0,False,49
2.0,2.0,False,49
9.0,6.363992940538491,True,49
3.0,3.0,False,49
3.0,3.0,False,49
6.0,4.811400000000001,True,50
9.0,6.430436100000001,True,50
6.0,6.0,False,50
2.0,2.0,False,50
7.0,7.0,False,50
4.0,3.6,True,50
2.0,2.0,False,50
9.0,7.000392234592341,False,50
3.0,3.0,False,50
3.0,3.0,False,50
6.0,5.292540000000002,False,51
9.0,7.073479710000002,False,51
6.0,5.4,True,51
2.0,2.0,False,51
7.0,7.0,False,51
4.0,3.9600000000000004,False,51
2.0,2.0,False,51
9.0,6.300353011133107,True,51
3.0,3.0,False,51
3.0,3.0,False,51
6.0,5.821794000000002,False,52
9.0,6.366131739000002,True,52
6.0,5.940000000000001,False,52
2.0,2.0,False,52
7.0,6.3,True,52
4.0,4.0,False,52
2.0,2.0,False,52
9.0,5.670317710019797,True,52
3.0,3.0,False,52
3.0,3.0,False,52
6.0,6.0,False,53
9.0,7.002744912900003,False,53
6.0,6.0,False,53
2.0,2.0,False,53
7.0,5.67,True,53
4.0,4.0,False,53
2.0,2.0,False,53
9.0,5.103285939017817,True,53
3.0,3.0,False,53
3.0,3.0,False,53
6.0,6.0,False,54
9.0,7.7030194041900035,False,54
6.0,6.0,False,54
2.0,2.0,False,54
7.0,6.237,False,54
4.0,4.0,False,54
2.0,2.0,False,54
9.0,4.5929573451160355,True,54
3.0,3.0,False,54
3.0,3.0,False,54
6.0,6.0,False,55
9.0,8.473321344609005,False,55
6.0,5.4,True,55
2.0,2.0,False,55
7.0,6.8607000000000005,False,55
4.0,4.0,False,55
2.0,2.0,False,55
9.0,5.052253079627639,False,55
3.0,3.0,False,55
3.0,3.0,False,55
6.0,6.0,False,56
9.0,7.625989210148105,True,56
6.0,5.940000000000001,False,56
2.0,2.0,False,56
7.0,6.1746300000000005,True,56
4.0,4.0,False,56
2.0,2.0,False,56
9.0,4.547027771664875,True,56
3.0,3.0,False,56
3.0,3.0,False,56
6.0,5.4,True,57
9.0,6.863390289133294,True,57
6.0,6.0,False,57
2.0,2.0,False,57
7.0,5.557167000000001,True,57
4.0,4.0,False,57
2.0,2.0,False,57
9.0,5.001730548831363,False,57
3.0,3.0,False,57
3.0,3.0,False,57
6.0,4.86,True,58
9.0,7.549729318046624,False,58
6.0,5.4,True,58
2.0,2.0,False,58
7.0,6.112883700000001,False,58
4.0,4.0,False,58
2.0,2.0,False,58
9.0,5.501903603714499,False,58
3.0,3.0,False,58
3.0,3.0,False,58
6.0,5.346000000000001,False,59
9.0,6.7947563862419615,True,59
6.0,4.86,True,59
2.0,2.0,False,59
7.0,6.724172070000002,False,59
4.0,4.0,False,59
2.0,2.0,False,59
9.0,4.9517132433430495,True,59
3.0,3.0,False,59
3.0,3.0,False,59
6.0,5.880600000000001,False,60
9.0,7.474232024866159,False,60
6.0,5.346000000000001,False,60
2.0,2.0,False,60
7.0,7.0,False,60
4.0,4.0,False,60
2.0,2.0,False,60
9.0,5.446884567677355,False,60
3.0,3.0,False,60
3.0,3.0,False,60
6.0,5.292540000000002,True,61
9.0,6.726808822379543,True,61
6.0,5.880600000000001,False,61
2.0,2.0,False,61
7.0,6.3,True,61
4.0,4.0,False,61
2.0,2.0,False,61
9.0,5.991573024445091,False,61
3.0,3.0,False,61
3.0,3.0,False,61
6.0,5.821794000000002,False,62
9.0,6.054127940141589,True,62
6.0,6.0,False,62
2.0,2.0,False,62
7.0,6.930000000000001,False,62
4.0,4.0,False,62
2.0,2.0,False,62
9.0,5.392415722000582,True,62
3.0,3.0,False,62
3.0,3.0,False,62
6.0,5.239614600000002,True,63
9.0,6.659540734155748,False,63
6.0,5.4,True,63
2.0,2.0,False,63
7.0,7.0,False,63
4.0,4.0,False,63
2.0,2.0,False,63
9.0,5.93165729420064,False,63
3.0,3.0,False,63
3.0,3.0,False,63
6.0,4.715653140000002,True,64
9.0,7.3254948075713235,False,64
6.0,5.940000000000001,False,64
2.0,2.0,False,64
7.0,7.0,False,64
4.0,4.0,False,64
2.0,2.0,False,64
9.0,6.524823023620705,False,64
3.0,3.0,False,64
3.0,3.0,False,64
6.0,5.187218454000003,False,65
9.0,8.058044288328457,False,65
6.0,6.0,False,65
2.0,2.0,False,65
7.0,7.0,False,65
4.0,4.0,False,65
2.0,2.0,False,65
9.0,5.8723407212586345,True,65
3.0,3.0,False,65
3.0,3.0,False,65
6.0,5.7059402994000035,False,66
9.0,8.863848717161304,False,66
6.0,5.4,True,66
2.0,2.0,False,66
7.0,6.3,True,66
4.0,4.0,False,66
2.0,2.0,False,66
9.0,6.4595747933844985,False,66
3.0,3.0,False,66
3.0,3.0,False,66
6.0,6.0,False,67
9.0,7.977463845445174,True,67
6.0,5.940000000000001,False,67
2.0,2.0,False,67
7.0,5.67,True,67
4.0,4.0,False,67
2.0,2.0,False,67
9.0,7.105532272722949,False,67
3.0,3.0,False,67
3.0,3.0,False,67
6.0,5.4,True,68
9.0,8.77521022998969,False,68
6.0,6.0,False,68
2.0,2.0,False,68
7.0,5.103,True,68
4.0,4.0,False,68
2.0,2.0,False,68
9.0,6.394979045450654,True,68
3.0,3.0,False,68
3.0,3.0,False,68
6.0,5.940000000000001,False,69
9.0,7.897689206990722,True,69
6.0,5.4,True,69
2.0,2.0,False,69
7.0,5.613300000000001,False,69
4.0,4.0,False,69
2.0,2.0,False,69
9.0,7.03447694999572,False,69
3.0,3.0,False,69
3.0,3.0,False,69
6.0,6.0,False,70
9.0,7.10792028629165,True,70
6.0,4.86,True,70
2.0,2.0,False,70
7.0,6.174630000000001,False,70
4.0,4.0,False,70
2.0,2.0,False,70
9.0,6.331029254996148,True,70
3.0,3.0,False,70
3.0,3.0,False,70
6.0,6.0,False,71
9.0,7.818712314920815,False,71
6.0,4.3740000000000006,True,71
2.0,2.0,False,71
7.0,6.792093000000002,False,71
4.0,3.6,True,71
2.0,2.0,False,71
9.0,6.964132180495763,False,71
3.0,3.0,False,71
3.0,3.0,False,71
6.0,6.0,False,72
9.0,7.036841083428734,True,72
6.0,4.811400000000001,False,72
2.0,2.0,False,72
7.0,7.0,False,72
4.0,3.9600000000000004,False,72
2.0,2.0,False,72
9.0,6.267718962446187,True,72
3.0,3.0,False,72
3.0,3.0,False,72
6.0,5.4,True,73
9.0,6.333156975085861,True,73
6.0,5.292540000000002,False,73
2.0,2.0,False,73
7.0,6.3,True,73
4.0,4.0,False,73
2.0,2.0,False,73
9.0,6.894490858690807,False,73
3.0,3.0,False,73
3.0,3.0,False,73
6.0,5.940000000000001,False,74
9.0,5.699841277577275,True,74
6.0,4.763286000000002,True,74
2.0,2.0,False,74
7.0,6.930000000000001,False,74
4.0,4.0,False,74
2.0,2.0,False,74
9.0,7.583939944559888,False,74
3.0,3.0,False,74
3.0,3.0,False,74
6.0,6.0,False,75
9.0,6.269825405335003,False,75
6.0,5.239614600000002,False,75
2.0,2.0,False,75
7.0,6.237000000000001,True,75
4.0,4.0,False,75
2.0,2.0,False,75
9.0,8.342333939015878,False,75
3.0,3.0,False,75
3.0,3.0,False,75
6.0,5.4,True,76
9.0,6.896807945868503,False,76
6.0,5.763576060000003,False,76
2.0,2.0,False,76
7.0,6.860700000000001,False,76
4.0,4.0,False,76
2.0,2.0,False,76
9.0,7.50810054511429,True,76
3.0,3.0,False,76
3.0,3.0,False,76
6.0,5.940000000000001,False,77
9.0,6.207127151281653,True,77
6.0,5.187218454000003,True,77
2.0,2.0,False,77
7.0,6.174630000000001,True,77
4.0,4.0,False,77
2.0,2.0,False,77
9.0,6.757290490602862,True,77
3.0,3.0,False,77
3.0,3.0,False,77
6.0,6.0,False,78
9.0,5.586414436153488,True,78
6.0,4.668496608600003,True,78
2.0,2.0,False,78
7.0,6.792093000000002,False,78
4.0,4.0,False,78
2.0,2.0,False,78
9.0,6.081561441542576,True,78
3.0,3.0,False,78
3.0,3.0,False,78
6.0,6.0,False,79
9.0,5.027772992538139,True,79
6.0,5.135346269460003,False,79
2.0,2.0,False,79
7.0,7.0,False,79
4.0,4.0,False,79
2.0,2.0,False,79
9.0,6.689717585696834,False,79
3.0,3.0,False,79
3.0,3.0,False,79
6.0,6.0,False,80
9.0,5.530550291791954,False,80
6.0,4.621811642514003,True,80
2.0,2.0,False,80
7.0,7.0,False,80
4.0,4.0,False,80
2.0,2.0,False,80
9.0,7.358689344266518,False,80
3.0,3.0,False,80
3.0,3.0,False,80
6.0,6.0,False,81
9.0,4.977495262612758,True,81
6.0,5.083992806765404,False,81
2.0,2.0,False,81
7.0,7.0,False,81
4.0,4.0,False,81
2.0,2.0,False,81
9.0,6.622820409839867,True,81
3.0,3.0,False,81
3.0,3.0,False,81
6.0,6.0,False,82
9.0,4.479745736351482,True,82
6.0,5.592392087441945,False,82
2.0,2.0,False,82
7.0,7.0,False,82
4.0,4.0,False,82
2.0,2.0,False,82
9.0,5.960538368855881,True,82
3.0,3.0,False,82
3.0,3.0,False,82
6.0,6.0,False,83
9.0,4.927720309986631,False,83
6.0,6.0,False,83
2.0,2.0,False,83
7.0,7.0,False,83
4.0,4.0,False,83
2.0,2.0,False,83
9.0,6.556592205741469,False,83
3.0,3.0,False,83
3.0,3.0,False,83
6.0,6.0,False,84
9.0,5.4204923409852945,False,84
6.0,6.0,False,84
2.0,2.0,False,84
7.0,6.3,True,84
4.0,4.0,False,84
2.0,2.0,False,84
9.0,7.212251426315617,False,84
3.0,3.0,False,84
3.0,3.0,False,84
6.0,5.4,True,85
9.0,5.962541575083825,False,85
6.0,6.0,False,85
2.0,2.0,False,85
7.0,6.930000000000001,False,85
4.0,3.6,True,85
2.0,2.0,False,85
9.0,7.933476568947179,False,85
3.0,3.0,False,85
3.0,3.0,False,85
6.0,4.86,True,86
9.0,6.558795732592208,False,86
6.0,5.4,True,86
2.0,2.0,False,86
7.0,6.237000000000001,True,86
4.0,3.9600000000000004,False,86
2.0,2.0,False,86
9.0,7.140128912052461,True,86
3.0,3.0,False,86
3.0,3.0,False,86
6.0,5.346000000000001,False,87
9.0,5.902916159332987,True,87
6.0,5.940000000000001,False,87
2.0,2.0,False,87
7.0,6.860700000000001,False,87
4.0,4.0,False,87
2.0,2.0,False,87
9.0,6.426116020847215,True,87
3.0,3.0,False,87
3.0,3.0,False,87
6.0,5.880600000000001,False,88
9.0,5.312624543399688,True,88
6.0,6.0,False,88
2.0,2.0,False,88
7.0,7.0,False,88
4.0,4.0,False,88
2.0,2.0,False,88
9.0,7.068727622931937,False,88
3.0,3.0,False,88
3.0,3.0,False,88
6.0,6.0,False,89
9.0,5.8438869977396575,False,89
6.0,6.0,False,89
2.0,2.0,False,89
7.0,6.3,True,89
4.0,4.0,False,89
2.0,2.0,False,89
9.0,6.3618548606387435,True,89
3.0,3.0,False,89
3.0,3.0,False,89
6.0,5.4,True,90
9.0,6.428275697513624,False,90
